0.000000  0.000000 0.000000  0.000000 0.000000
3.000000  -1.000000 -0.000000  0.285714 0.000000
10.000000  1.000000 0.000000  0.285714 0.000000
13.000000  0.000000 -1.000000  -0.000000 0.285714
20.000000  -0.000000 1.000000  -0.000000 0.285714
23.000000  -0.998027 -0.062791  0.285150 0.017940
30.000000  0.998027 0.062791  0.285150 0.017940
33.000000  0.062791 -0.998027  -0.017940 0.285150
40.000000  -0.062791 0.998027  -0.017940 0.285150
43.000000  -0.992115 -0.125333  0.283461 0.035809
50.000000  0.992115 0.125333  0.283461 0.035809
53.000000  0.125333 -0.992115  -0.035809 0.283461
60.000000  -0.125333 0.992115  -0.035809 0.283461
63.000000  -0.982287 -0.187381  0.280654 0.053538
70.000000  0.982287 0.187381  0.280654 0.053538
73.000000  0.187381 -0.982287  -0.053538 0.280654
80.000000  -0.187381 0.982287  -0.053538 0.280654
83.000000  -0.968583 -0.248690  0.276738 0.071054
90.000000  0.968583 0.248690  0.276738 0.071054
93.000000  0.248690 -0.968583  -0.071054 0.276738
100.000000  -0.248690 0.968583  -0.071054 0.276738
103.000000  -0.951057 -0.309017  0.271730 0.088291
110.000000  0.951057 0.309017  0.271730 0.088291
113.000000  0.309017 -0.951057  -0.088291 0.271730
120.000000  -0.309017 0.951057  -0.088291 0.271730
123.000000  -0.929776 -0.368125  0.265650 0.105178
130.000000  0.929776 0.368125  0.265650 0.105178
133.000000  0.368125 -0.929776  -0.105178 0.265650
140.000000  -0.368125 0.929776  -0.105178 0.265650
143.000000  -0.904827 -0.425779  0.258522 0.121651
150.000000  0.904827 0.425779  0.258522 0.121651
153.000000  0.425779 -0.904827  -0.121651 0.258522
160.000000  -0.425779 0.904827  -0.121651 0.258522
163.000000  -0.876307 -0.481754  0.250373 0.137644
170.000000  0.876307 0.481754  0.250373 0.137644
173.000000  0.481754 -0.876307  -0.137644 0.250373
180.000000  -0.481754 0.876307  -0.137644 0.250373
183.000000  -0.844328 -0.535827  0.241237 0.153093
190.000000  0.844328 0.535827  0.241237 0.153093
193.000000  0.535827 -0.844328  -0.153093 0.241237
200.000000  -0.535827 0.844328  -0.153093 0.241237
203.000000  -0.809017 -0.587785  0.231148 0.167939
210.000000  0.809017 0.587785  0.231148 0.167939
213.000000  0.587785 -0.809017  -0.167939 0.231148
220.000000  -0.587785 0.809017  -0.167939 0.231148
223.000000  -0.770513 -0.637424  0.220147 0.182121
230.000000  0.770513 0.637424  0.220147 0.182121
233.000000  0.637424 -0.770513  -0.182121 0.220147
240.000000  -0.637424 0.770513  -0.182121 0.220147
243.000000  -0.728969 -0.684547  0.208277 0.195585
250.000000  0.728969 0.684547  0.208277 0.195585
253.000000  0.684547 -0.728969  -0.195585 0.208277
260.000000  -0.684547 0.728969  -0.195585 0.208277
263.000000  -0.684547 -0.728969  0.195585 0.208277
270.000000  0.684547 0.728969  0.195585 0.208277
273.000000  0.728969 -0.684547  -0.208277 0.195585
280.000000  -0.728969 0.684547  -0.208277 0.195585
283.000000  -0.637424 -0.770513  0.182121 0.220147
290.000000  0.637424 0.770513  0.182121 0.220147
293.000000  0.770513 -0.637424  -0.220147 0.182121
300.000000  -0.770513 0.637424  -0.220147 0.182121
303.000000  -0.587785 -0.809017  0.167939 0.231148
310.000000  0.587785 0.809017  0.167939 0.231148
313.000000  0.809017 -0.587785  -0.231148 0.167939
320.000000  -0.809017 0.587785  -0.231148 0.167939
323.000000  -0.535827 -0.844328  0.153093 0.241237
330.000000  0.535827 0.844328  0.153093 0.241237
333.000000  0.844328 -0.535827  -0.241237 0.153093
340.000000  -0.844328 0.535827  -0.241237 0.153093
343.000000  -0.481754 -0.876307  0.137644 0.250373
350.000000  0.481754 0.876307  0.137644 0.250373
353.000000  0.876307 -0.481754  -0.250373 0.137644
360.000000  -0.876307 0.481754  -0.250373 0.137644
363.000000  -0.425779 -0.904827  0.121651 0.258522
370.000000  0.425779 0.904827  0.121651 0.258522
373.000000  0.904827 -0.425779  -0.258522 0.121651
380.000000  -0.904827 0.425779  -0.258522 0.121651
383.000000  -0.368125 -0.929776  0.105178 0.265650
390.000000  0.368125 0.929776  0.105178 0.265650
393.000000  0.929776 -0.368125  -0.265650 0.105178
400.000000  -0.929776 0.368125  -0.265650 0.105178
403.000000  -0.309017 -0.951057  0.088291 0.271730
410.000000  0.309017 0.951057  0.088291 0.271730
413.000000  0.951057 -0.309017  -0.271730 0.088291
420.000000  -0.951057 0.309017  -0.271730 0.088291
423.000000  -0.248690 -0.968583  0.071054 0.276738
430.000000  0.248690 0.968583  0.071054 0.276738
433.000000  0.968583 -0.248690  -0.276738 0.071054
440.000000  -0.968583 0.248690  -0.276738 0.071054
443.000000  -0.187381 -0.982287  0.053538 0.280654
450.000000  0.187381 0.982287  0.053538 0.280654
453.000000  0.982287 -0.187381  -0.280654 0.053538
460.000000  -0.982287 0.187381  -0.280654 0.053538
463.000000  -0.125333 -0.992115  0.035809 0.283461
470.000000  0.125333 0.992115  0.035809 0.283461
473.000000  0.992115 -0.125333  -0.283461 0.035809
480.000000  -0.992115 0.125333  -0.283461 0.035809
483.000000  -0.062791 -0.998027  0.017940 0.285150
490.000000  0.062791 0.998027  0.017940 0.285150
493.000000  0.998027 -0.062791  -0.285150 0.017940
500.000000  -0.998027 0.062791  -0.285150 0.017940
503.000000  0.000000 0.000000  0.000000 0.000000
