0.030000  -0.000008 -0.000000  -0.000766 -0.000000  -0.051078 -0.000000  -1.702593 -0.000000
0.060000  -0.000061 -0.000000  -0.003065 -0.000000  -0.102156 -0.000000  -1.702593 -0.000000
0.090000  -0.000207 -0.000000  -0.006895 -0.000000  -0.153233 -0.000000  -1.702593 -0.000000
0.120000  -0.000490 -0.000000  -0.012259 -0.000000  -0.204311 -0.000000  -1.702593 -0.000000
0.150000  -0.000958 -0.000000  -0.019154 -0.000000  -0.255389 -0.000000  -1.702593 -0.000000
0.180000  -0.001655 -0.000000  -0.027582 -0.000000  -0.306467 -0.000000  -1.702593 -0.000000
0.210000  -0.002628 -0.000000  -0.037542 -0.000000  -0.357544 -0.000000  -1.702593 -0.000000
0.240000  -0.003923 -0.000000  -0.049035 -0.000000  -0.408622 -0.000000  -1.702593 -0.000000
0.270000  -0.005585 -0.000000  -0.062059 -0.000000  -0.459700 -0.000000  -1.702593 -0.000000
0.300000  -0.007662 -0.000000  -0.076617 -0.000000  -0.510778 -0.000000  -1.702593 -0.000000
0.330000  -0.010198 -0.000000  -0.092706 -0.000000  -0.561856 -0.000000  -1.702593 -0.000000
0.360000  -0.013239 -0.000000  -0.110328 -0.000000  -0.612933 -0.000000  -1.702593 -0.000000
0.390000  -0.016833 -0.000000  -0.129482 -0.000000  -0.664011 -0.000000  -1.702593 -0.000000
0.420000  -0.021024 -0.000000  -0.150169 -0.000000  -0.715089 -0.000000  -1.702593 -0.000000
0.450000  -0.025858 -0.000000  -0.172387 -0.000000  -0.766167 -0.000000  -1.702593 -0.000000
0.480000  -0.031382 -0.000000  -0.196139 -0.000000  -0.817244 -0.000000  -1.702593 -0.000000
0.510000  -0.037642 -0.000000  -0.221422 -0.000000  -0.868322 -0.000000  -1.702593 -0.000000
0.540000  -0.044683 -0.000000  -0.248238 -0.000000  -0.919400 -0.000000  -1.702593 -0.000000
0.570000  -0.052551 -0.000000  -0.276586 -0.000000  -0.970478 -0.000000  -1.702593 -0.000000
0.600000  -0.061293 -0.000000  -0.306467 -0.000000  -1.021556 -0.000000  -1.702593 -0.000000
0.630000  -0.070955 -0.000000  -0.337879 -0.000000  -1.072633 -0.000000  -1.702593 -0.000000
